"","X.x","X_STATE","n_heavy_drinkers","total_state","heavy_drinker_percent","high_chlo_percent","abbr","state","pop_2015","X.y","smoker_percent","X","percent"
"20",20,23,19,208,9.13461538461538,35.5769230769231,"ME","Maine",1329328,20,10.3507763082231,20,3.77075959705962
"21",21,24,12,256,4.6875,39.84375,"MD","Maryland",6006401,21,7.81499202551834,21,3.36861388153877
"22",22,25,14,177,7.90960451977401,35.0282485875706,"MA","Massachusetts",6794422,22,10.7107107107107,22,3.66372757677106
"23",23,26,15,206,7.28155339805825,39.3203883495146,"MI","Michigan",9922576,23,10.9631464849799,23,3.31202789076119
"24",24,27,23,374,6.14973262032086,27.0053475935829,"MN","Minnesota",5489594,24,9.69120217517965,24,2.87838810266251
"25",25,28,4,111,3.6036036036036,44.1441441441441,"MS","Mississippi",2992333,25,10.936170212766,25,6.00178491744757
"26",26,29,5,168,2.97619047619048,38.6904761904762,"MO","Missouri",6083672,26,13.4985207100592,26,3.87766247951939
"27",27,30,8,121,6.61157024793388,29.7520661157025,"MT","Montana",1032949,27,9.47476828012358,27,2.8735632183908
"28",28,31,18,407,4.42260442260442,31.9410319410319,"NE","Nebraska",1896190,28,9.35251798561151,28,3.36231438024159
"29",29,32,7,74,9.45945945945946,37.8378378378378,"NV","Nevada",2890845,29,11.1111111111111,29,4.88033786954481
"30",30,33,10,147,6.80272108843537,38.7755102040816,"NH","New Hampshire",1330608,30,9.80615735461802,30,3.77049180327869
"31",31,34,10,280,3.57142857142857,31.0714285714286,"NJ","New Jersey",8958013,31,9.20709441836202,31,4.15502793296089
"32",32,35,14,153,9.15032679738562,35.9477124183007,"NM","New Mexico",2085109,32,8.88685295464956,32,3.39645944833265
"33",33,36,16,314,5.09554140127389,34.7133757961783,"NY","New York",19795791,33,9.74917179365831,33,4.15247720531693
"34",34,37,3,162,1.85185185185185,33.9506172839506,"NC","North Carolina",10042802,34,11.6441343218491,34,4.29323612798704
"35",35,38,3,112,2.67857142857143,32.1428571428571,"ND","North Dakota",756927,35,8.72832369942197,35,2.77629471436199
"36",36,39,17,267,6.36704119850187,36.3295880149813,"OH","Ohio",11613423,36,11.3866967305524,36,3.50506286858796
"37",37,40,2,148,1.35135135135135,39.8648648648649,"OK","Oklahoma",3911338,37,12.1346651868294,37,4.52929066067752
"38",38,41,15,146,10.2739726027397,24.6575342465753,"OR","Oregon",4028977,38,9.44112859468258,38,2.66249021143305
"39",39,42,7,142,4.92957746478873,38.0281690140845,"PA","Pennsylvania",12802503,39,11.3553113553114,39,3.82090951711205
"40",40,44,11,165,6.66666666666667,37.5757575757576,"RI","Rhode Island",1056298,40,9.63693411026446,40,4.13985413985414
"41",41,45,15,284,5.28169014084507,39.7887323943662,"SC","South Carolina",4896146,41,9.71065322227093,41,4.31958057898336
"42",42,46,6,164,3.65853658536585,32.3170731707317,"SD","South Dakota",858469,42,9.96592844974446,42,1.27217344561906
"43",43,47,8,137,5.83941605839416,45.2554744525547,"TN","Tennessee",6600299,43,14.8333333333333,43,4.08819476343592
"44",44,48,13,326,3.98773006134969,39.2638036809816,"TX","Texas",27469114,44,8.10708183026391,44,4.18568515101486
"45",45,49,4,225,1.77777777777778,30.2222222222222,"UT","Utah",2995919,45,5.53807426054122,45,2.41009946442234
"46",46,50,12,140,8.57142857142857,31.4285714285714,"VT","Vermont",626042,46,10.2589154860772,46,3.70295834171866
"47",47,51,13,191,6.80628272251309,37.17277486911,"VA","Virginia",8382993,47,10.7259646827992,47,3.61194029850746
"48",48,53,18,371,4.85175202156334,36.6576819407008,"WA","Washington",7170351,48,8.56793145654835,48,2.4400296760366
"49",49,54,3,111,2.7027027027027,22.5225225225225,"WV","West Virginia",1844128,49,18.3682983682984,49,5.2863436123348
"50",50,55,10,137,7.2992700729927,34.3065693430657,"WI","Wisconsin",5771337,50,10.6442577030812,50,2.97517123287671
"51",51,56,9,108,8.33333333333333,42.5925925925926,"WY","Wyoming",586107,51,8.58864892014063,51,3.14404094564952
"52",52,66,4,37,10.8108108108108,35.1351351351351,NA,NA,NA,52,17.7824267782427,52,3.23426573426573
